Formuláø DN,Polo¾ka,Popis,Bli¾¹í definice
,,,
01,p1,IDENTIFIKAÈNÍ ÈÍSLO,"obsahuje kód pøíslu¹ného kraje, okresu a útvaru, který ¹etøil nehodu v silnièním provozu; KRAJ,. OKRES, ÚTVAR pro systémy policie, dále rok a èíslo nehody, ROK - poslední dvojèíslí; POØADOVÉ ÈÍSLO - èíslo nehody z knihy nehod"
02,p2,ÈASOVÉ ÚDAJE O DOPRAVNÍ NEHODÌ,"den, mìsíc, rok, hodina, minuta"
,p2a,"den, mìsíc, rok",
,p2b,èas ,
05a,p5a,LOKALITA NEHODY,
,1,v obci,vyplòí se i polo¾ka p5b
,2,mimo obec,
06,p6,DRUH NEHODY,
,1,srá¾ka,s jedoucím nekolejovým vozidlem
,2,srá¾ka,"s vozidlem zaparkovaným, odstaveným"
,3,srá¾ka,s pevnou pøeká¾kou
,4,srá¾ka,s chodcem
,5,srá¾ka,s lesní zvìøí
,6,srá¾ka,s domácím zvíøetem
,7,srá¾ka ,s vlakem
,8,srá¾ka,s tramvají
,9,havárie,
,0,jiný druh nehody,
07,p7,DRUH SRÁ®KY JEDOUCÍCH VOZIDEL,
,1,èelní,
,2,boèní,
,3,z boku,
,4,zezadu,
,0,nepøichází v úvahu,nejedná se o srá¾ku jedoucích vozidel
08,p8,DRUH PEVNÉ PØEKÁ®KY,
,1,strom,
,2,sloup,"telefonní, veøejného osvìtlení, elektrického vedení, signalizace apod. "
,3,"odrazník, patník,","sloupek smìrový, sloupek dopravní znaèky apod. "
,4,svodidlo,
,5,pøeká¾ka vzniklá provozem jiného vozidla,"(napø. ztráta náikladu , výstroje vozidla nebo jeho èásti)"
,6,"zeï, pevná èást mostù, ","podjezdù, tunelù apod. "
,7,závory ¾eleznièního pøejezdu,
,8,pøeká¾ka vzniklá stavební èinností,"(pøenosné dopravní znaèky, hromada ¹tìrku, písku nebo jiného stavebního materiálu apod.)"
,9,jiná pøeká¾ka,"(zábradlí, oplocení, násep, nástupní ostrùvek apod.)"
,0,nepøíchází v úvahu,nejedná se o srá¾ku s pevnou pøeká¾kou
09,p9,CHARAKTER NEHODY,
,1,nehoda,s následky na ¾ivotì
,2,nehoda,pouze s hmotnou ¹kodou
10,p10,ZAVINÌNÍ NEHODY,
,1,øidièem,motorového vozidla
,2,øidièem,nemotorového vozidla
,3,chodcem,
,4,"lesní zvìøí, domácím zvíøectvem",
,5,jiným úèastníkem silnièního provozu,
,6,závadou komunikace,
,7,technickou závadou vozidla,
,0,jiné zavinìní,
11,p11,ALKOHOL U VINÍKA NEHODY PØÍTOMEN,
,1,ano,"obsah alkoholu v krvi do 0,24 ?"
,2,ne,
,3,ano,"obsah alkoholu v krvi od 0,24 ? do 0,5 ?"
,4,pod vlivem drog,
,5,pod vlivem alkoholu a drog,
,6,ano,"obsah alkoholu v krvi od 0,5 ? do 0,8 ?"
,7,ano,"obsah alkoholu v krvi od 0,8 ? do 1,0 ?"
,8,ano,"obsah alkoholu v krvi od 1,0 ? do 1,5 ?"
,9,ano,"obsah alkoholu v krvi 1,5 ? a více"
,0,nezji¹»ováno,
12,p12,HLAVNÍ PØÍÈINY NEHODY,
,100,nezavinìná øidièem,
,201-209,nepøimìøená rychlost jízdy,
,301-311,nesprávné pøedjí¾dìní,
,401-414,nedání pøednosti v jízdì,
,501-516,nesprávný zpùsob jízdy,
,601-615,technická závada vozidla,
