name,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,tasks,sem,extra,tot,mark,var,web,gh,task,group
evgrsntb,5.0,5.0,4.0,0.0,3.5,3.0,4.5,0.0,0.0,,25.0,,,25.0,F,T,True,True,False,102
byhzgxnj,4.0,4.0,4.5,4.0,5.0,4.0,4.5,4.0,0.0,,34.0,,1.0,35.0,F,T,True,True,True,101
yghatkeb,5.0,5.0,4.5,0.0,0.0,5.0,3.0,1.0,0.0,,23.5,,,23.5,F,T,True,True,False,101
cknuixjt,5.0,4.0,4.0,3.5,3.0,5.0,4.0,5.0,4.0,,37.5,39.0,,76.5,C,T,True,True,True,102
gdwtipua,5.0,4.0,5.0,4.0,3.0,4.0,4.5,1.5,4.0,,35.0,55.0,,90.0,A,T,True,True,True,102
priebxnc,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,,29.0,44.0,2.0,75.0,C,T,True,True,True,101
amjkhbvg,5.0,5.0,4.5,3.0,0.0,3.0,4.0,0.0,0.0,,24.5,,,24.5,F,T,True,True,False,102
auvbbxqf,5.0,4.5,5.0,4.0,4.0,4.0,0.0,0.5,4.0,5.0,36.0,51.0,1.0,88.0,B,G,True,True,True,102
irgcijkl,5.0,4.0,3.0,2.0,4.5,4.0,0.0,5.0,4.0,,31.5,,1.0,32.5,F,T,True,True,True,102
ehusanhw,4.0,2.0,4.0,,,,,,,,10.0,,,10.0,F,G,True,True,False,102
hnilxjex,5.0,4.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,,21.0,,,21.0,F,T,True,True,False,102
guymvtla,4.5,,,,,,,,,,4.5,,,4.5,F,T,False,True,False,101
qcrvakut,0.0,5.0,4.5,0.0,0.0,5.0,4.0,4.5,4.5,,27.5,,,27.5,F,T,True,True,True,101
kgrsbvqn,5.0,5.0,5.0,0.5,0.0,3.0,,,,,18.5,,,18.5,F,G,True,True,False,102
mkazdhhj,5.0,5.0,5.0,0.0,3.5,4.0,,0.0,0.0,,22.5,,0.5,23.0,F,G,True,True,False,102
vqjqivir,,,,,,,,,,,0.0,,,0.0,F,,False,False,False,101
demogabn,5.0,4.0,5.0,4.5,4.5,5.0,5.0,2.0,4.5,5.0,44.5,51.0,1.0,96.5,A,T,True,True,True,101
wbqzviyg,,,,,,,,,,,0.0,,,0.0,F,,False,False,False,101
famxdzuq,5.0,4.5,5.0,4.5,5.0,4.0,4.5,0.0,4.5,,37.0,46.0,,83.0,B,G,True,True,True,101
rtgoffwl,,,,,,,,,,,0.0,,,0.0,F,,False,False,False,101
esqnsrpn,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.0,48.5,56.0,4.0,108.5,A,T,True,True,True,102
eqyjuuqc,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0.0,3.5,,38.0,51.0,1.0,90.0,A,G,True,True,True,101
vhkvudmu,5.0,4.0,4.0,0.0,4.5,3.0,0.0,0.0,0.0,,20.5,,,20.5,F,T,True,True,False,102
kjkqvoni,5.0,3.0,5.0,,,,,,,,13.0,,,13.0,F,T,True,True,False,102
deqgzgjo,4.0,4.0,4.5,2.0,3.5,4.0,0.0,0.0,0.0,,22.0,,,22.0,F,T,True,True,False,102
evxcrssy,4.0,5.0,4.5,0.5,3.0,4.0,0.0,0.0,1.5,,22.5,,,22.5,F,T,True,True,False,101
gskoydpk,,,,,,,,,,,0.0,,,0.0,F,,False,False,False,102
inchkpin,4.0,5.0,5.0,,,,,,,,14.0,,,14.0,F,G,True,True,False,101
rkqfvcig,4.0,0.0,3.0,1.0,3.5,4.0,4.0,0.0,4.5,3.0,27.0,36.0,0.5,63.5,D,T,False,True,True,102
hzibggfd,4.0,5.0,3.0,4.5,4.0,5.0,4.0,0.0,3.0,2.0,34.5,46.0,,80.5,B,T,True,True,True,101
huishczc,4.5,5.0,4.5,0.0,4.0,5.0,0.0,0.0,4.0,,27.0,,,27.0,F,G,True,True,True,101
pbrofovn,5.0,5.0,5.0,4.0,5.0,3.0,3.0,0.0,0.0,,30.0,45.0,,75.0,C,G,True,True,True,102
zpbdmocu,3.0,4.0,4.5,0.0,1.0,4.0,,,,,16.5,,,16.5,F,T,True,True,False,101
qdnvdoxq,5.0,5.0,5.0,2.0,5.0,5.0,5.0,0.5,5.0,,37.5,53.0,,90.5,A,T,True,True,True,102
hfkbkqzc,,,,,,,,,,,0.0,,,0.0,F,custom,False,True,False,101
ycmzxmnm,4.0,5.0,5.0,5.0,3.5,3.0,4.5,0.0,4.0,,34.0,,,34.0,F,G,True,True,True,102
jkkonhka,5.0,4.0,2.0,0.0,0.0,4.0,4.0,5.0,0.0,,24.0,,,24.0,F,T,True,True,True,101
cjuptbsu,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0.5,0.0,,30.5,,,30.5,F,G,True,True,True,102
prashxgn,5.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,27.0,40.0,,67.0,D,T,True,True,True,102
tuqnwowx,5.0,5.0,5.0,4.0,0.0,2.0,4.5,0.5,0.0,,26.0,,1.0,27.0,F,G,True,True,True,101
kesmoewa,5.0,5.0,5.0,0.0,4.0,5.0,4.0,5.0,4.5,,37.5,,,37.5,F,T,True,True,True,102
qvtzqmjp,5.0,5.0,3.5,0.0,0.0,5.0,,,,,18.5,,1.0,19.5,F,T,True,True,False,101
kljxeuyf,0.0,2.0,5.0,0.0,0.0,5.0,,,,,12.0,,,12.0,F,T,True,True,False,101
vexznhex,5.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,3.5,4.5,40.0,43.0,,83.0,B,T,True,True,True,102
vlvqqrmm,5.0,5.0,3.0,0.0,4.0,4.5,5.0,4.0,3.5,,34.0,25.0,1.0,60.0,D,G,True,True,True,101
wveloema,5.0,5.0,5.0,4.5,0.0,4.0,4.5,0.0,0.0,,28.0,40.0,1.0,69.0,D,G,True,True,True,101
