user_hash,lesson,category,answer
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,testing,like,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,magic,learn,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,pandas,topic,D
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,testing,topic,B
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,requests-click,like,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,distribution,topic,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,docs,like,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,micropython,like,D
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,distribution,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,cython,topic,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,micropython,learn,C
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,async,like,D
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,pyqt,topic,
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,semestralka,topic,C
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,micropython,topic,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,testing,learn,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,numpy,like,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,pyqt,learn,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,pandas,like,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,pandas,like,D
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,semestralka,learn,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,numpy,learn,D
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,semestralka,topic,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,semestralka,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,testing,topic,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,flask,like,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,numpy,topic,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,micropython,topic,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,testing,like,
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,geopython,like,B
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,micropython,topic,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,pyqt,topic,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,async,learn,
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,distribution,like,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,cython,like,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,magic,like,
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,pyqt,topic,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,semestralka,topic,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,pyqt,topic,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,semestralka,like,
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,pandas,topic,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,distribution,topic,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,geopython,learn,F
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,docs,like,B
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,flask,learn,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,magic,topic,F
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,requests-click,like,E
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,requests-click,like,C
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,cython,like,D
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,micropython,topic,E
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,testing,topic,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,distribution,topic,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,docs,learn,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,docs,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,docs,topic,
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,testing,topic,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,distribution,topic,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,distribution,learn,B
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,requests-click,like,C
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,pyqt,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,docs,topic,B
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,geopython,topic,E
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,pandas,topic,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,numpy,like,D
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,testing,like,D
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,docs,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,async,learn,D
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,numpy,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,magic,like,
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,cython,like,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,pyqt,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,cython,learn,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,pyqt,learn,B
